,Time,IP1,IP2,Protocol,Pkt-size
389,3.395556,172.16.155.40,74.125.250.44,UDP,80
390,3.403771,74.125.250.44,172.16.155.40,UDP,177
391,3.411015,172.16.155.40,172.16.155.20,TCP,54
392,3.419302,74.125.250.44,172.16.155.40,UDP,165
393,3.419769,172.16.155.40,74.125.250.44,UDP,136
394,3.426829,74.125.250.44,172.16.155.40,UDP,748
395,3.437792,74.125.250.44,172.16.155.40,UDP,679
396,3.439432,74.125.250.44,172.16.155.40,UDP,680
397,3.446263,172.16.155.40,74.125.250.44,UDP,84
398,3.456088,74.125.250.44,172.16.155.40,UDP,101
399,3.458085,74.125.250.44,172.16.155.40,UDP,160
400,3.459112,74.125.250.44,172.16.155.40,UDP,97
401,3.461621,74.125.250.44,172.16.155.40,UDP,162
402,3.473755,74.125.250.44,172.16.155.40,UDP,589
403,3.474814,74.125.250.44,172.16.155.40,UDP,81
404,3.480934,74.125.250.44,172.16.155.40,UDP,161
405,3.496014,74.125.250.44,172.16.155.40,UDP,81
406,3.496351,172.16.155.40,74.125.250.44,UDP,100
407,3.497116,172.16.155.40,74.125.250.44,UDP,88
408,3.501366,74.125.250.44,172.16.155.40,UDP,153
409,3.523021,74.125.250.44,172.16.155.40,UDP,756
410,3.525563,74.125.250.44,172.16.155.40,UDP,135
411,3.531054,172.16.155.40,74.125.250.44,UDP,84
412,3.539306,74.125.250.44,172.16.155.40,UDP,136
413,3.548058,172.16.155.40,74.125.250.44,UDP,84
414,3.56097,74.125.250.44,172.16.155.40,UDP,138
415,3.579086,74.125.250.44,172.16.155.40,UDP,163
416,3.599008,172.16.155.40,74.125.250.44,UDP,80
417,3.600151,74.125.250.44,172.16.155.40,UDP,176
418,3.600151,74.125.250.44,172.16.155.40,UDP,625
419,3.625382,74.125.250.44,172.16.155.40,UDP,170
420,3.631374,172.16.155.40,74.125.250.44,UDP,100
421,3.642757,74.125.250.44,172.16.155.40,UDP,165
422,3.645108,74.125.250.44,172.16.155.40,UDP,1195
423,3.649931,172.16.155.40,74.125.250.44,UDP,84
424,3.65876,74.125.250.44,172.16.155.40,UDP,164
425,3.670179,74.125.250.44,172.16.155.40,UDP,132
426,3.681266,74.125.250.44,172.16.155.40,UDP,160
427,3.682971,74.125.250.44,172.16.155.40,UDP,372
428,3.700386,172.16.155.40,74.125.250.44,UDP,84
429,3.701297,74.125.250.44,172.16.155.40,UDP,170
430,3.703092,162.125.35.136,172.16.155.40,TLSv1.2,693
431,3.711506,172.16.155.40,74.125.250.44,UDP,97
432,3.717246,74.125.250.44,172.16.155.40,UDP,163
433,3.727088,74.125.250.44,172.16.155.40,UDP,429
434,3.731449,172.16.155.40,74.125.250.44,UDP,81
435,3.739953,74.125.250.44,172.16.155.40,UDP,168
436,3.741505,172.16.155.40,74.125.250.44,UDP,100
437,3.744383,172.16.155.40,162.125.35.136,TCP,54
438,3.752314,172.16.155.40,74.125.250.44,UDP,84
439,3.760082,74.125.250.44,172.16.155.40,UDP,178
440,3.766001,74.125.250.44,172.16.155.40,UDP,132
441,3.773667,74.125.250.44,172.16.155.40,UDP,100
442,3.778166,74.125.250.44,172.16.155.40,UDP,178
443,3.787525,172.16.155.40,74.125.250.44,UDP,100
444,3.790173,74.125.250.44,172.16.155.40,UDP,714
445,3.800427,74.125.250.44,172.16.155.40,UDP,170
446,3.804396,172.16.155.40,74.125.250.44,UDP,84
447,3.819475,74.125.250.44,172.16.155.40,UDP,172
448,3.839177,74.125.250.44,172.16.155.40,UDP,169
449,3.845173,74.125.250.44,172.16.155.40,UDP,828
450,3.855105,172.16.155.40,74.125.250.44,UDP,84
451,3.859177,74.125.250.44,172.16.155.40,UDP,171
452,3.871937,172.16.155.40,142.250.195.195,TLSv1.2,146
453,3.87283,142.250.195.195,172.16.155.40,TCP,60
454,3.876142,74.125.250.44,172.16.155.40,UDP,97
455,3.881669,74.125.250.44,172.16.155.40,UDP,171
456,3.885957,74.125.250.44,172.16.155.40,UDP,101
457,3.888024,74.125.250.44,172.16.155.40,UDP,693
458,3.901171,74.125.250.44,172.16.155.40,UDP,178
459,3.905784,172.16.155.40,74.125.250.44,UDP,84
460,3.906123,74.125.250.44,172.16.155.40,UDP,81
461,3.906123,74.125.250.44,172.16.155.40,UDP,81
462,3.921651,74.125.250.44,172.16.155.40,UDP,176
463,3.921662,142.250.195.195,172.16.155.40,TLSv1.2,200
464,3.922164,142.250.195.195,172.16.155.40,TLSv1.2,124
465,3.922221,172.16.155.40,142.250.195.195,TCP,54
466,3.92249,172.16.155.40,142.250.195.195,TLSv1.2,93
467,3.923133,142.250.195.195,172.16.155.40,TCP,60
468,3.928488,74.125.250.44,172.16.155.40,UDP,560
469,3.931813,172.16.155.2,224.0.0.2,HSRP,62
470,3.939221,74.125.250.44,172.16.155.40,UDP,170
471,3.956328,172.16.155.40,74.125.250.44,UDP,84
472,3.959773,74.125.250.44,172.16.155.40,UDP,171
